last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Cooper, Garrett,643265,Marlins,2020,1B,-3,-4,-1,-2,-1,0,-1,-3,79%,92%,-13%
Cordero, Franchy,614173,Royals,2020,CF,0,0,1,0,0,-1,0,0,75%,75%,0%
Correa, Carlos,621043,Astros,2020,SS,0,0,2,-3,0,0,-1,1,90%,90%,0%
Crawford, Brandon,543063,Giants,2020,SS,2,3,2,-1,0,2,0,3,89%,87%,2%
Crawford, J.P.,641487,Mariners,2020,SS,3,4,5,1,-1,-1,2,1,94%,92%,2%
Cron, C.J.,543068,Tigers,2020,1B,-1,-1,-1,0,0,0,0,-1,89%,94%,-5%
Cronenworth, Jake,630105,Padres,2020,2B,3,3,2,0,0,2,1,3,96%,92%,4%
Dahl, David,621311,Rockies,2020,CF,-1,-1,0,-3,1,0,0,-1,82%,84%,-2%
Dalbec, Bobby,666915,Red Sox,2020,1B,1,1,0,1,0,0,0,0,97%,95%,2%
Davis, Chris,448801,Orioles,2020,1B,0,-1,0,0,-1,0,0,-1,82%,87%,-5%
Davis, J.D.,605204,Mets,2020,3B,-4,-5,-1,-2,-2,0,-3,-2,77%,82%,-5%
Davis, Jaylin,664041,Giants,2020,RF,0,0,0,0,0,0,0,0,73%,75%,-2%
Davis, Jonathan,641505,Blue Jays,2020,CF,0,0,0,0,0,0,0,0,95%,96%,-1%
DeJong, Paul,657557,Cardinals,2020,SS,-3,-4,-1,-2,-1,0,-2,-2,88%,91%,-3%
DeShields, Delino,592261,Indians,2020,CF,1,1,1,1,0,0,2,-1,91%,89%,2%
Demeritte, Travis,641513,Tigers,2020,RF,1,1,1,-1,1,0,0,1,89%,86%,3%
Devers, Rafael,646240,Red Sox,2020,3B,-2,-2,-1,-1,0,0,0,-2,82%,84%,-2%
Diaz, Aledmys,649557,Astros,2020,2B,-2,-2,-1,0,-1,0,0,-2,82%,89%,-7%
Diaz, Isan,656371,Marlins,2020,2B,0,0,0,0,0,0,0,0,92%,93%,-1%
Diaz, Lewin,650331,Marlins,2020,1B,1,1,0,1,0,0,0,1,100%,94%,6%
